sampling,user,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
60,6,0.462889,0.851091,0.928098,0.421544,0.839485,0.42704,0.430756,0.997356,0.444515,0.992838,0.996143,0.996349,0.432623,0.427959,0.977658,0.963562,0.9921,0.373661,0.354614,0.350918,0.986604,0.350984,0.525645,0.545261
60,7,0.865963,0.322812,0.33497,0.902713,0.331467,0.330815,0.330003,0.329912,0.327028,0.321212,0.315909,0.997506,0.305369,0.997491,0.309596,0.975996,0.300886,0.960297,0.299615,0.99747,0.330999,0.466421,0.520512,0.473688
60,8,0.527086,0.603959,0.73265,0.674597,0.778575,0.795458,0.753677,0.934102,0.92806,0.989836,0.990173,0.897602,0.991718,0.87581,0.98104,0.920941,0.893575,0.91456,0.877337,0.870266,0.905265,0.88077,0.886033,0.91581
60,9,0.695177,0.675095,0.676816,0.913664,0.565874,0.565554,0.56582,0.562885,0.691622,0.644339,0.883107,0.635766,0.630011,0.622689,0.9952,0.610151,0.603829,0.59758,0.591404,0.588251,0.809984,0.783189,0.799127,0.994223
60,10,0.571203,0.592651,0.630828,0.99858,0.540656,0.612299,0.975779,0.54698,0.545643,0.975537,0.991617,0.540548,0.536158,0.987412,0.987228,0.994861,0.531887,0.973047,0.539652,0.534991,0.52519,0.519957,0.610422,0.889677
80,1,0.63832,0.680161,0.676748,0.681892,0.631138,0.63473,0.691026,0.694697,0.690066,0.857579,0.751133,0.770342,0.764045,0.79558,0.95071,0.946453,0.75137,0.739289,0.727348,0.72056,0.801929,0.84792,0.824777,0.822708
80,2,0.296272,0.76379,0.297558,0.298159,0.298716,0.299273,0.764778,0.764614,0.762858,0.755665,0.748106,0.740518,0.734313,0.933924,0.752947,0.743979,0.732197,0.721313,0.710513,0.995037,0.894914,0.923552,0.750638,0.738357
80,3,0.0546186,0.0543422,0.0540736,0.0538084,0.0535461,0.0532869,0.0530308,0.0524985,0.0519928,0.0514847,0.0509812,0.0504827,0.049988,0.0512968,0.0525672,0.0538226,0.0550639,0.0562913,0.0575048,0.0704369,0.0696002,0.0691418,0.0687017,0.0682663
80,4,0.802434,0.937758,0.819394,0.993209,0.819152,0.89932,0.820554,0.993299,0.801836,0.787881,0.771813,0.756498,0.748033,0.95082,0.829296,0.847329,0.859917,0.870668,0.968203,0.957368,0.930159,0.946994,0.953493,0.901849
80,5,0.354761,0.420535,0.459414,0.499879,0.923463,0.564805,0.951271,0.946949,0.95419,0.933462,0.944341,0.975073,0.966882,0.958687,0.977167,0.926927,0.967852,0.897504,0.882686,0.874409,0.901586,0.977323,0.876634,0.868262
80,6,0.42212,0.749081,0.999394,0.327746,0.708196,0.334698,0.336897,0.336918,0.3361,0.689136,0.452511,0.368982,0.365187,0.358815,0.350976,0.7511,0.83347,0.646879,0.533324,0.996491,0.672506,0.799383,0.495586,0.609495
80,7,0.895902,0.327665,0.328523,0.910711,0.325343,0.324834,0.324086,0.998622,0.328951,0.553918,0.700558,0.889311,0.883866,0.934295,0.958223,0.860152,0.824663,0.796184,0.771583,0.764702,0.80629,0.796495,0.76589,0.749435
80,8,0.451945,0.474732,0.569212,0.471308,0.568313,0.568057,0.470338,0.999669,0.41464,0.383455,0.640721,0.819957,0.816584,0.869028,0.916959,0.917533,0.858639,0.845882,0.835281,0.827356,0.900134,0.882253,0.874462,0.888452
80,9,0.794006,0.788508,0.825874,0.949703,0.602311,0.61076,0.615846,0.526639,0.65751,0.611085,0.881588,0.60155,0.59711,0.674085,0.924064,0.639153,0.628068,0.61834,0.60859,0.994882,0.5893,0.857272,0.7153,0.917933
80,10,0.683697,0.387668,0.411271,0.999497,0.658254,0.398909,0.999212,0.0789179,0.999333,0.0898683,0.998772,0.999324,0.0944416,0.101758,0.10329,0.10366,0.998127,0.119169,0.98918,0.124705,0.122987,0.502857,0.33409,0.490809
100,1,0.533696,0.546024,0.543589,0.544249,0.509327,0.509718,0.545316,0.54761,0.547471,0.781782,0.648452,0.689283,0.684475,0.742263,0.896653,0.888129,0.738335,0.729594,0.720841,0.713827,0.826337,0.844409,0.829782,0.824016
100,2,0.41168,0.667113,0.333304,0.331669,0.331915,0.332241,0.71063,0.710264,0.694941,0.68856,0.682,0.67541,0.669705,0.923132,0.703747,0.697092,0.686842,0.677573,0.668311,0.663258,0.654561,0.868446,0.731748,0.719275
100,3,0.0590961,0.058486,0.0578943,0.057309,0.0567302,0.0561579,0.0555921,0.0551915,0.0589603,0.0626185,0.0662227,0.0697715,0.070263,0.072001,0.0736986,0.0753784,0.0770361,0.0786719,0.0802862,0.0797683,0.0789104,0.0780891,0.0772763,0.0764726
100,4,0.426427,0.804675,0.419555,0.904478,0.416464,0.916047,0.414979,0.414955,0.41314,0.410097,0.406672,0.403318,0.3994,0.8813,0.625487,0.672982,0.707356,0.73712,0.948136,0.942789,0.910967,0.925352,0.967938,0.869136
100,5,0.285803,0.365003,0.418642,0.467715,0.939938,0.547558,0.945261,0.940431,0.974802,0.957576,0.957676,0.97812,0.970494,0.968482,0.977406,0.94416,0.966225,0.922441,0.911957,0.903252,0.906391,0.983939,0.883616,0.875226
100,6,0.342486,0.814293,0.91513,0.321671,0.808472,0.317944,0.316891,0.319071,0.332823,0.649488,0.49725,0.40355,0.401302,0.398704,0.389198,0.565515,0.857606,0.508932,0.495309,0.492787,0.492507,0.618817,0.628605,0.59027
100,7,0.916171,0.204301,0.201773,0.909212,0.201059,0.200575,0.200079,0.199871,0.197115,0.431557,0.362003,0.811772,0.810716,0.897584,0.941904,0.826626,0.780993,0.746031,0.717243,0.710278,0.750686,0.722201,0.709614,0.694027
100,8,0.448683,0.477253,0.563564,0.469691,0.55995,0.558511,0.467011,0.466719,0.724023,0.732731,0.727355,0.708635,0.704581,0.778417,0.885285,0.87449,0.78272,0.775197,0.767497,0.760881,0.831845,0.826006,0.850581,0.865409
100,9,0.651698,0.641177,0.630324,0.922971,0.557103,0.556011,0.55572,0.555448,0.676121,0.633853,0.884372,0.626891,0.621422,0.689344,0.929965,0.657968,0.648052,0.639054,0.630092,0.624648,0.910284,0.813186,0.811171,0.960974
100,10,0.738371,0.456441,0.492645,0.911994,0.723052,0.480296,0.922829,0.92252,0.909724,0.950282,0.931102,0.951186,0.941949,0.920897,0.899604,0.9468,0.929257,0.867681,0.852125,0.84337,0.825113,0.920238,0.84808,0.843953
